step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
3800,0.10994574,0.0,0.0,0.05991536,0.05991536,0.0,0.05374601,0.07781294,0.08541851,0.0,0.0502082,0.07478599,0.077747,0.10994574
3900,0.11215986,0.0,0.0,0.06261106,0.06261106,0.0,0.05575275,0.07337097,0.09496653,0.0,0.050146,0.07024906,0.08349493,0.11215986
4000,0.11111502,0.0,0.0,0.06485584,0.06485584,0.0,0.0543571,0.07286157,0.09158734,0.0,0.05027232,0.07114271,0.08193876,0.11111502
4100,0.10697023,0.0,0.0,0.06170486,0.06170486,0.0,0.052525,0.06819014,0.09024805,0.0,0.04827474,0.06679174,0.08053903,0.10697023
4200,0.10378771,0.0,0.0,0.05753935,0.05753935,0.0,0.05061515,0.07278868,0.08071382,0.0,0.04741862,0.07245602,0.07274403,0.10378771
4300,0.10378353,0.0,0.0,0.06443464,0.06443464,0.0,0.05062053,0.06941734,0.08369958,0.0,0.04671953,0.06817792,0.07466061,0.10378353
4400,0.10395406,0.0,0.0,0.05727899,0.05727899,0.0,0.05069435,0.07122575,0.08187737,0.0,0.04753182,0.06851981,0.07495219,0.10395406
4500,0.10357524,0.0,0.0,0.06255165,0.06255165,0.0,0.05033496,0.06846559,0.08369409,0.0,0.04698513,0.06650524,0.0765526,0.10357524
4600,0.09658866,0.0,0.0,0.05710065,0.05710065,0.0,0.04651641,0.06733245,0.07644617,0.0,0.04436219,0.06611352,0.07087813,0.09658866
4700,0.10077117,0.0,0.0,0.0572851,0.0572851,0.0,0.0489815,0.06631081,0.08191829,0.0,0.04606116,0.06382023,0.07575217,0.10077117
4800,0.0924819,0.0,0.0,0.05494982,0.05494982,0.0,0.04535572,0.06369887,0.07624617,0.0,0.0416312,0.06210042,0.06743106,0.0924819
4900,0.09769484,0.0,0.0,0.05974134,0.05974134,0.0,0.04725491,0.06643219,0.07882459,0.0,0.0444658,0.06561112,0.0718528,0.09769484
