step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
3800,0.13313389,0.0,0.0,0.04899754,0.04899754,0.0,0.06503145,0.12373528,0.08942803,0.0,0.06320269,0.12071443,0.08644746,0.13313389
3900,0.1225867,0.0,0.0,0.04699178,0.04699178,0.0,0.0605028,0.11401651,0.08368593,0.0,0.05738473,0.11160716,0.07641954,0.1225867
4000,0.12449364,0.0,0.0,0.04601277,0.04601277,0.0,0.06225584,0.11912237,0.08753182,0.0,0.05763653,0.11351625,0.0778918,0.12449364
4100,0.12988442,0.0,0.0,0.04308729,0.04308729,0.0,0.06423628,0.11428609,0.09693929,0.0,0.06133942,0.109393,0.09164017,0.12988442
4200,0.11944395,0.0,0.0,0.04223313,0.04223313,0.0,0.05940936,0.11605942,0.08106083,0.0,0.05581127,0.1111729,0.07312617,0.11944395
4300,0.11997885,0.0,0.0,0.04260432,0.04260432,0.0,0.05998176,0.11403963,0.08336517,0.0,0.05573665,0.110734,0.07439505,0.11997885
4400,0.13145187,0.0,0.0,0.04261971,0.04261971,0.0,0.06241912,0.11610076,0.08613973,0.0,0.0647708,0.1134156,0.09454095,0.13145187
4500,0.11151595,0.0,0.0,0.0413727,0.0413727,0.0,0.05487238,0.10985237,0.07255736,0.0,0.0525063,0.10719702,0.0680756,0.11151595
4600,0.10379732,0.0,0.0,0.0397675,0.0397675,0.0,0.0511012,0.10240036,0.0693008,0.0,0.04871936,0.09964313,0.0638826,0.10379732
4700,0.10938597,0.0,0.0,0.03855927,0.03855927,0.0,0.05435832,0.10355605,0.07479958,0.0,0.05117174,0.09944204,0.06841489,0.10938597
4800,0.10472278,0.0,0.0,0.03717167,0.03717167,0.0,0.05169215,0.10201925,0.07174595,0.0,0.04931347,0.09732939,0.06759305,0.10472278
4900,0.10990185,0.0,0.0,0.03742128,0.03742128,0.0,0.05469235,0.10501695,0.0766345,0.0,0.05146736,0.10305246,0.06861942,0.10990185
5000,0.10210036,0.0,0.0,0.03912837,0.03912837,0.0,0.05065764,0.09980438,0.06921526,0.0,0.04752988,0.0974707,0.06246928,0.10210036
5100,0.09824172,0.0,0.0,0.03576295,0.03576295,0.0,0.04802793,0.0987298,0.06435663,0.0,0.04663751,0.0957517,0.06210143,0.09824172
5200,0.10679862,0.0,0.0,0.03389508,0.03389508,0.0,0.05255648,0.10108318,0.07071067,0.0,0.05085263,0.09994658,0.06641806,0.10679862
5300,0.1014273,0.0,0.0,0.03539406,0.03539406,0.0,0.05029905,0.09792873,0.06820319,0.0,0.04758885,0.09450626,0.0627737,0.1014273
5400,0.10190342,0.0,0.0,0.03719305,0.03719305,0.0,0.05041702,0.09621254,0.06912935,0.0,0.0477671,0.09307191,0.06391155,0.10190342
5500,0.10611757,0.0,0.0,0.03704208,0.03704208,0.0,0.05334059,0.10137092,0.07381267,0.0,0.04907278,0.09770499,0.06487577,0.10611757
5600,0.09819053,0.0,0.0,0.0367575,0.0367575,0.0,0.04837504,0.09294496,0.06563164,0.0,0.04613974,0.08990956,0.06089279,0.09819053
5700,0.09201837,0.0,0.0,0.03548649,0.03548649,0.0,0.04557426,0.08929683,0.06293887,0.0,0.04289547,0.08656748,0.05683835,0.09201837
5800,0.09575706,0.0,0.0,0.03595338,0.03595338,0.0,0.04703283,0.09164421,0.06248085,0.0,0.04512889,0.0883653,0.05946341,0.09575706
5900,0.08964733,0.0,0.0,0.0340992,0.0340992,0.0,0.04423868,0.08679231,0.06087708,0.0,0.04199873,0.08405127,0.05703142,0.08964733
6000,0.0888437,0.0,0.0,0.03399223,0.03399223,0.0,0.04370276,0.08627949,0.05897921,0.0,0.04174171,0.08303364,0.05592321,0.0888437
6100,0.08661295,0.0,0.0,0.03112016,0.03112016,0.0,0.04271828,0.0888805,0.05555299,0.0,0.04078265,0.08661062,0.05142704,0.08661295
6200,0.09652628,0.0,0.0,0.03462364,0.03462364,0.0,0.04717335,0.09172584,0.06481899,0.0,0.04589056,0.0884997,0.06234415,0.09652628
6300,0.08937381,0.0,0.0,0.03440196,0.03440196,0.0,0.04384271,0.08392578,0.06252255,0.0,0.0420909,0.08250965,0.05857106,0.08937381
6400,0.08784161,0.0,0.0,0.03335662,0.03335662,0.0,0.04327044,0.08301661,0.05927849,0.0,0.04123549,0.07946532,0.0559646,0.08784161
6500,0.08594526,0.0,0.0,0.03238619,0.03238619,0.0,0.0422601,0.08545338,0.05821697,0.0,0.04044654,0.0831794,0.05446403,0.08594526
6600,0.07935304,0.0,0.0,0.03246093,0.03246093,0.0,0.03887763,0.08057766,0.05316454,0.0,0.03722933,0.07803287,0.05006563,0.07935304
6700,0.07308602,0.0,0.0,0.03217505,0.03217505,0.0,0.03536442,0.0740024,0.04826774,0.0,0.0345041,0.0717173,0.04679626,0.07308602
6800,0.08209004,0.0,0.0,0.03099939,0.03099939,0.0,0.04046886,0.078761,0.05597331,0.0,0.03852122,0.07595806,0.05269964,0.08209004
6900,0.0774281,0.0,0.0,0.02919833,0.02919833,0.0,0.03809099,0.07620288,0.0510125,0.0,0.03641728,0.07559015,0.0470375,0.0774281
7000,0.07980959,0.0,0.0,0.02880126,0.02880126,0.0,0.03950571,0.07824069,0.05067082,0.0,0.03742377,0.07604048,0.04621382,0.07980959
7100,0.08218282,0.0,0.0,0.03113935,0.03113935,0.0,0.04037469,0.07666666,0.05527981,0.0,0.0386942,0.07451762,0.05217464,0.08218282
7200,0.07839559,0.0,0.0,0.03087132,0.03087132,0.0,0.03899352,0.07818574,0.05307138,0.0,0.03631493,0.07543539,0.04714065,0.07839559
7300,0.07043471,0.0,0.0,0.0297652,0.0297652,0.0,0.03515564,0.07119793,0.04860994,0.0,0.03230255,0.06907124,0.04215252,0.07043471
7400,0.07437206,0.0,0.0,0.02926826,0.02926826,0.0,0.03771071,0.07171783,0.0540957,0.0,0.03373452,0.06938486,0.04467636,0.07437206
7500,0.07821669,0.0,0.0,0.03049874,0.03049874,0.0,0.03840319,0.07468886,0.05096515,0.0,0.03676362,0.07275159,0.04692643,0.07821669
7600,0.07460029,0.0,0.0,0.02876122,0.02876122,0.0,0.03644322,0.07375834,0.04814023,0.0,0.03528094,0.07018209,0.04655638,0.07460029
7700,0.07194252,0.0,0.0,0.02729116,0.02729116,0.0,0.03520434,0.06946906,0.04735149,0.0,0.03400906,0.06710783,0.04481623,0.07194252
7800,0.07129711,0.0,0.0,0.02739948,0.02739948,0.0,0.03577885,0.07175128,0.0482697,0.0,0.03277831,0.06920889,0.04163541,0.07129711
7900,0.07044584,0.0,0.0,0.02562332,0.02562332,0.0,0.03501273,0.0691764,0.04834753,0.0,0.03287078,0.0677112,0.04321233,0.07044584
8000,0.06736491,0.0,0.0,0.02608762,0.02608762,0.0,0.03373328,0.06449043,0.04771841,0.0,0.03102286,0.06289055,0.04108324,0.06736491
8100,0.06966031,0.0,0.0,0.02489674,0.02489674,0.0,0.034802,0.06672601,0.04850049,0.0,0.03236863,0.06429655,0.04250425,0.06966031
8200,0.06673763,0.0,0.0,0.02503708,0.02503708,0.0,0.03374919,0.06396995,0.04793067,0.0,0.03048473,0.06197069,0.04101585,0.06673763
8300,0.06644209,0.0,0.0,0.02700864,0.02700864,0.0,0.03266545,0.06767926,0.04299669,0.0,0.03107579,0.06543075,0.04019161,0.06644209
8400,0.0624862,0.0,0.0,0.02522307,0.02522307,0.0,0.03129397,0.06299105,0.04296004,0.0,0.02866992,0.0607594,0.03714284,0.0624862
8500,0.06711333,0.0,0.0,0.02795465,0.02795465,0.0,0.0324408,0.06331132,0.04511395,0.0,0.03187706,0.06032531,0.04424256,0.06711333
8600,0.07304987,0.0,0.0,0.02661872,0.02661872,0.0,0.03718589,0.06594349,0.05499177,0.0,0.03320211,0.0642708,0.04556341,0.07304987
8700,0.06897637,0.0,0.0,0.02670221,0.02670221,0.0,0.03407229,0.06541308,0.04781866,0.0,0.03223386,0.06312854,0.04397737,0.06897637
8800,0.06228964,0.0,0.0,0.02564309,0.02564309,0.0,0.03078712,0.06012395,0.04269134,0.0,0.0289382,0.05804009,0.03894631,0.06228964
8900,0.06585386,0.0,0.0,0.02559042,0.02559042,0.0,0.03251648,0.05943862,0.04661344,0.0,0.03077834,0.05659427,0.04339131,0.06585386
9000,0.06502758,0.0,0.0,0.02512368,0.02512368,0.0,0.0324468,0.06139516,0.04491018,0.0,0.03006841,0.05959109,0.03926617,0.06502758
9100,0.05734919,0.0,0.0,0.02392235,0.02392235,0.0,0.0282306,0.05844894,0.03674126,0.0,0.02672636,0.05626231,0.03374051,0.05734919
9200,0.0571533,0.0,0.0,0.02423122,0.02423122,0.0,0.02921203,0.05599095,0.04161492,0.0,0.02551815,0.0536642,0.03341167,0.0571533
9300,0.06104185,0.0,0.0,0.02419276,0.02419276,0.0,0.02999118,0.05824645,0.04100391,0.0,0.02863139,0.05644909,0.03831383,0.06104185
9400,0.05548612,0.0,0.0,0.02223129,0.02223129,0.0,0.02743207,0.05333098,0.03632097,0.0,0.02583092,0.05182757,0.03243898,0.05548612
9500,0.05364846,0.0,0.0,0.02174839,0.02174839,0.0,0.02667552,0.05417029,0.03492406,0.0,0.02479811,0.05295023,0.03049546,0.05364846
9600,0.05961967,0.0,0.0,0.02207056,0.02207056,0.0,0.02976175,0.05981233,0.03941201,0.0,0.02765087,0.05783659,0.03482531,0.05961967
9700,0.05687788,0.0,0.0,0.02250859,0.02250859,0.0,0.02825348,0.05791141,0.03672104,0.0,0.02637354,0.05610503,0.03323003,0.05687788
9800,0.06544018,0.0,0.0,0.02272196,0.02272196,0.0,0.03326879,0.05897616,0.0492319,0.0,0.02989919,0.05724039,0.04170478,0.06544018
9900,0.05254105,0.0,0.0,0.02182928,0.02182928,0.0,0.02613634,0.05517139,0.0336445,0.0,0.02422179,0.05354131,0.02967192,0.05254105
10000,0.05895225,0.0,0.0,0.02460887,0.02460887,0.0,0.02957575,0.05730657,0.04076116,0.0,0.02691562,0.05564931,0.03484094,0.05895225
10100,0.05806604,0.0,0.0,0.02279433,0.02279433,0.0,0.02881349,0.05510041,0.03936779,0.0,0.02697312,0.05397787,0.03538366,0.05806604
10200,0.05724468,0.0,0.0,0.02284147,0.02284147,0.0,0.02881685,0.05451855,0.04058409,0.0,0.02614368,0.05270228,0.03402011,0.05724468
10300,0.05930763,0.0,0.0,0.02432683,0.02432683,0.0,0.03071246,0.05523054,0.04568155,0.0,0.02616248,0.05302613,0.03458942,0.05930763
10400,0.05322799,0.0,0.0,0.02154656,0.02154656,0.0,0.02645702,0.05058161,0.03633644,0.0,0.02461631,0.04899278,0.03158505,0.05322799
10500,0.05466086,0.0,0.0,0.02274749,0.02274749,0.0,0.02743986,0.05043614,0.03905915,0.0,0.02494626,0.04882448,0.03348576,0.05466086
10600,0.05282273,0.0,0.0,0.02229942,0.02229942,0.0,0.02649578,0.04944714,0.03742421,0.0,0.02409702,0.04726681,0.03245958,0.05282273
10700,0.05501616,0.0,0.0,0.02072615,0.02072615,0.0,0.02761647,0.05389272,0.03746382,0.0,0.02532708,0.05187254,0.03198304,0.05501616
10800,0.05080926,0.0,0.0,0.01991021,0.01991021,0.0,0.02569398,0.05019499,0.0347801,0.0,0.02312426,0.04875076,0.02872187,0.05080926
10900,0.05305485,0.0,0.0,0.02117129,0.02117129,0.0,0.02636042,0.05054033,0.03621494,0.0,0.0245773,0.04890076,0.03212697,0.05305485
11000,0.04861074,0.0,0.0,0.02057912,0.02057912,0.0,0.0240145,0.05026674,0.03152006,0.0,0.02253833,0.04775183,0.02886199,0.04861074
11100,0.04440413,0.0,0.0,0.01888651,0.01888651,0.0,0.02182611,0.04621105,0.02767892,0.0,0.02068936,0.04488391,0.02542062,0.04440413
11200,0.04963113,0.0,0.0,0.01959706,0.01959706,0.0,0.02468708,0.04906669,0.03299492,0.0,0.02298434,0.04711121,0.02966669,0.04963113
11300,0.04591276,0.0,0.0,0.01937562,0.01937562,0.0,0.022966,0.04611802,0.03108362,0.0,0.0210092,0.04383289,0.02683694,0.04591276
11400,0.05405337,0.0,0.0,0.01959401,0.01959401,0.0,0.02660832,0.04936222,0.03620456,0.0,0.02548566,0.04882366,0.03339514,0.05405337
11500,0.04668926,0.0,0.0,0.01993962,0.01993962,0.0,0.02388212,0.0441043,0.03486242,0.0,0.02081318,0.04248147,0.02748349,0.04668926
11600,0.04894663,0.0,0.0,0.01859474,0.01859474,0.0,0.02446154,0.04858942,0.03352307,0.0,0.02262562,0.04738464,0.02923696,0.04894663
11700,0.05033344,0.0,0.0,0.01886632,0.01886632,0.0,0.02543362,0.04753786,0.0353264,0.0,0.02301319,0.04496304,0.03055981,0.05033344
11800,0.043572,0.0,0.0,0.01807696,0.01807696,0.0,0.02174644,0.04421161,0.02892463,0.0,0.02001786,0.04322151,0.02521672,0.043572
11900,0.04487089,0.0,0.0,0.01779755,0.01779755,0.0,0.02304558,0.04522786,0.03202443,0.0,0.02004556,0.04286456,0.02522253,0.04487089
12000,0.04497645,0.0,0.0,0.01863259,0.01863259,0.0,0.02190789,0.04446907,0.02817677,0.0,0.02120531,0.04351114,0.02687017,0.04497645
12100,0.0431748,0.0,0.0,0.01786184,0.01786184,0.0,0.02150507,0.04464005,0.02786374,0.0,0.01988356,0.0431272,0.02455365,0.0431748
12200,0.04725341,0.0,0.0,0.01855369,0.01855369,0.0,0.023494,0.04742741,0.03211844,0.0,0.02190404,0.04593146,0.02854482,0.04725341
12300,0.04365218,0.0,0.0,0.01875627,0.01875627,0.0,0.02196829,0.04339727,0.02959143,0.0,0.01980826,0.04082199,0.02546478,0.04365218
12400,0.04598466,0.0,0.0,0.01811728,0.01811728,0.0,0.02270947,0.04599833,0.02952546,0.0,0.02146346,0.04412041,0.02678808,0.04598466
12500,0.04052805,0.0,0.0,0.0173849,0.0173849,0.0,0.02025138,0.04125527,0.02740199,0.0,0.01853818,0.03993309,0.02338662,0.04052805
12600,0.0394621,0.0,0.0,0.01710036,0.01710036,0.0,0.0198759,0.04001765,0.02670782,0.0,0.01787616,0.03810957,0.0222921,0.0394621
12700,0.04371935,0.0,0.0,0.01709029,0.01709029,0.0,0.02155035,0.04458699,0.02792086,0.0,0.02045997,0.04380451,0.02553777,0.04371935
12800,0.04378394,0.0,0.0,0.01647016,0.01647016,0.0,0.02168016,0.04404623,0.02810912,0.0,0.02045676,0.04221029,0.02541762,0.04378394
12900,0.04152776,0.0,0.0,0.01660143,0.01660143,0.0,0.02050458,0.04222548,0.02757946,0.0,0.01936303,0.0408753,0.02516396,0.04152776
13000,0.04267995,0.0,0.0,0.01672126,0.01672126,0.0,0.02119006,0.04137089,0.02818862,0.0,0.01981776,0.04022477,0.02508596,0.04267995
13100,0.03943883,0.0,0.0,0.01742133,0.01742133,0.0,0.01951767,0.03989758,0.0262159,0.0,0.01817902,0.03824228,0.02384972,0.03943883
13200,0.03616035,0.0,0.0,0.0151963,0.0151963,0.0,0.0182319,0.03714938,0.02453371,0.0,0.01640882,0.03580891,0.02029358,0.03616035
13300,0.0408194,0.0,0.0,0.01548524,0.01548524,0.0,0.02114955,0.04143303,0.02983978,0.0,0.01812132,0.04067355,0.02251113,0.0408194
13400,0.03618442,0.0,0.0,0.01620675,0.01620675,0.0,0.01789761,0.03660563,0.0239766,0.0,0.01666613,0.03536355,0.02140995,0.03618442
13500,0.03969438,0.0,0.0,0.01533773,0.01533773,0.0,0.01997812,0.04048919,0.02714458,0.0,0.01818248,0.03889374,0.02339339,0.03969438
13600,0.04133699,0.0,0.0,0.01616759,0.01616759,0.0,0.02072368,0.04104303,0.02749838,0.0,0.01899655,0.03955941,0.02424828,0.04133699
13700,0.03716028,0.0,0.0,0.01539246,0.01539246,0.0,0.01887806,0.03716201,0.02585167,0.0,0.01674297,0.03522067,0.02141322,0.03716028
13800,0.04152665,0.0,0.0,0.01584405,0.01584405,0.0,0.02066164,0.04026259,0.02741124,0.0,0.0192806,0.0392514,0.02422296,0.04152665
13900,0.03926669,0.0,0.0,0.01539455,0.01539455,0.0,0.01965883,0.03726473,0.02672943,0.0,0.01806841,0.03576609,0.0232835,0.03926669
14000,0.03784414,0.0,0.0,0.01530869,0.01530869,0.0,0.01911105,0.03867033,0.02569675,0.0,0.01720222,0.03613909,0.02168468,0.03784414
14100,0.03980896,0.0,0.0,0.01450332,0.01450332,0.0,0.01979883,0.03804945,0.026879,0.0,0.0185598,0.03691288,0.0239318,0.03980896
14200,0.03500243,0.0,0.0,0.01360353,0.01360353,0.0,0.01776803,0.03607377,0.02392141,0.0,0.01587404,0.03428924,0.01967196,0.03500243
14300,0.040494,0.0,0.0,0.0145716,0.0145716,0.0,0.02063658,0.03840816,0.02799647,0.0,0.01840026,0.03709414,0.02311836,0.040494
14400,0.0388863,0.0,0.0,0.01312936,0.01312936,0.0,0.01959453,0.03694169,0.02681651,0.0,0.01797885,0.03580526,0.02335178,0.0388863
14500,0.03536969,0.0,0.0,0.0137974,0.0137974,0.0,0.01769506,0.03761077,0.02237337,0.0,0.01629489,0.03611618,0.01953951,0.03536969
14600,0.0381326,0.0,0.0,0.01445653,0.01445653,0.0,0.01909433,0.0377845,0.02610804,0.0,0.01759261,0.03677084,0.02274099,0.0381326
14700,0.03781161,0.0,0.0,0.01491159,0.01491159,0.0,0.01926497,0.03571566,0.02773989,0.0,0.01705548,0.03459655,0.02253242,0.03781161
14800,0.03433667,0.0,0.0,0.01468319,0.01468319,0.0,0.01714954,0.03369604,0.02340599,0.0,0.01571881,0.03243998,0.02030168,0.03433667
14900,0.0376597,0.0,0.0,0.01464909,0.01464909,0.0,0.01906575,0.03785604,0.02542678,0.0,0.01712904,0.03605761,0.02107687,0.0376597
