step,loss
0,0.81700069
100,0.30651781
200,0.06620587
300,0.06024959
400,0.05418837
500,0.05400807
600,0.0515462
700,0.04841144
800,0.05252663
900,0.05104724
1000,0.05602209
1100,0.0515209
1200,0.05509444
1300,0.04845255
1400,0.04895571
1500,0.05080002
1600,0.05202721
1700,0.04809615
1800,0.04511078
1900,0.04457241
2000,0.04714929
2100,0.04691603
2200,0.04746058
2300,0.04436808
2400,0.04144952
2500,0.04340436
2600,0.04186624
2700,0.04074265
2800,0.04091393
2900,0.04135968
3000,0.039203
3100,0.0390542
3200,0.04342356
3300,0.03889139
3400,0.03971691
3500,0.03925936
3600,0.03845336
3700,0.03936635
3800,0.03863139
3900,0.03867087
4000,0.04022029
4100,0.03920172
4200,0.03586599
4300,0.03832161
4400,0.03649934
4500,0.0373716
4600,0.03504581
4700,0.03687829
4800,0.03518849
4900,0.03635383
5000,0.034596
5100,0.03513677
5200,0.03988736
5300,0.03473889
5400,0.03503839
5500,0.0375917
5600,0.03530065
5700,0.03462144
5800,0.03954718
5900,0.03628632
6000,0.03206562
6100,0.03574283
6200,0.03568113
6300,0.03285852
6400,0.03418037
6500,0.03404415
6600,0.03289258
6700,0.03207537
6800,0.03578456
6900,0.03346042
7000,0.03458637
7100,0.03407228
7200,0.0342883
7300,0.03218129
7400,0.03321198
7500,0.03642712
7600,0.03474271
7700,0.03349125
7800,0.03244584
7900,0.03329318
8000,0.03087191
8100,0.03133538
8200,0.03233676
8300,0.03109987
8400,0.03007978
8500,0.03120939
8600,0.03258196
8700,0.03066363
8800,0.03192371
8900,0.03182182
9000,0.02960332
9100,0.03043896
9200,0.0281453
9300,0.03023397
9400,0.0306362
9500,0.03109061
9600,0.03051483
9700,0.0311678
9800,0.03048314
9900,0.02819693
10000,0.03052393
10100,0.02798127
10200,0.02914423
10300,0.02854882
10400,0.02838838
10500,0.02948819
10600,0.03055989
10700,0.02916788
10800,0.03097872
10900,0.02858694
11000,0.02799598
11100,0.02884627
11200,0.02749082
11300,0.02797225
11400,0.0279884
11500,0.02878945
11600,0.02766082
11700,0.02888252
11800,0.02869042
11900,0.0254783
12000,0.02830462
12100,0.02958545
12200,0.02724867
12300,0.02577865
12400,0.02949625
12500,0.02647079
12600,0.02645345
12700,0.02786622
12800,0.02587026
12900,0.02487725
13000,0.0285833
13100,0.02510918
13200,0.02538404
13300,0.02492059
13400,0.0245477
13500,0.0261998
13600,0.02541767
13700,0.02632778
13800,0.02649375
13900,0.02580512
14000,0.02550858
14100,0.02638344
14200,0.02465358
14300,0.0267144
14400,0.02478151
14500,0.02541385
14600,0.02608522
14700,0.02330824
14800,0.0249663
14900,0.02662943
15000,0.02441712
15100,0.02439452
15200,0.02362148
15300,0.02404316
15400,0.0265245
15500,0.02344479
15600,0.02532983
15700,0.023901
15800,0.02407693
15900,0.02415466
16000,0.02312718
16100,0.02237502
16200,0.02304957
16300,0.02126425
16400,0.02371962
16500,0.02376002
16600,0.0234979
16700,0.02357081
16800,0.02424673
16900,0.02199394
17000,0.02306994
17100,0.02372634
17200,0.02083699
17300,0.02277026
17400,0.02222677
17500,0.02167649
17600,0.02285296
17700,0.02221356
17800,0.02002615
17900,0.0226669
18000,0.02303139
18100,0.02079163
18200,0.02229048
18300,0.02092386
18400,0.02062722
18500,0.02325381
18600,0.02108181
18700,0.02278347
18800,0.0196901
18900,0.02047095
19000,0.02130038
19100,0.02189166
19200,0.02040009
19300,0.02021729
19400,0.01937766
19500,0.02086036
19600,0.02085042
19700,0.02076388
19800,0.0194039
19900,0.02053492
20000,0.02017188
20100,0.02007041
20200,0.02003971
20300,0.01909724
20400,0.01946856
20500,0.0189233
20600,0.01865485
20700,0.02000277
20800,0.01807333
20900,0.02036505
21000,0.01854224
21100,0.01880608
21200,0.01748926
21300,0.01997413
21400,0.01962047
21500,0.01839972
21600,0.01715063
21700,0.01781948
21800,0.02008923
21900,0.01914151
22000,0.01724866
22100,0.01658575
22200,0.01821032
22300,0.01919498
22400,0.01805092
22500,0.01912542
22600,0.01787073
22700,0.01758287
22800,0.0171262
22900,0.01725687
23000,0.01745477
23100,0.0186322
23200,0.01727391
23300,0.01665462
23400,0.01766743
23500,0.01722992
23600,0.01795006
23700,0.01646125
23800,0.01667773
23900,0.01779037
24000,0.01670428
24100,0.01615519
24200,0.01569872
24300,0.01646553
24400,0.01730985
24500,0.01593817
24600,0.01699442
24700,0.01651951
24800,0.01655411
24900,0.01613041
25000,0.01574181
25100,0.01675571
25200,0.01591803
25300,0.01654041
25400,0.016608
25500,0.01574582
25600,0.01654107
25700,0.01626531
25800,0.01584578
25900,0.01532613
26000,0.01514645
26100,0.01604784
26200,0.01591804
26300,0.01503977
26400,0.01629874
26500,0.01628498
26600,0.01565499
26700,0.01681706
26800,0.01621825
26900,0.01421077
27000,0.01556748
27100,0.01517541
27200,0.01668719
27300,0.01551275
27400,0.01625128
27500,0.01493637
27600,0.01484548
27700,0.0152652
27800,0.0154155
27900,0.01494307
28000,0.01489223
28100,0.01420612
28200,0.01443305
28300,0.01358854
28400,0.01630902
28500,0.01556767
28600,0.01515909
28700,0.01495075
28800,0.01585722
28900,0.01501292
29000,0.01540923
29100,0.01417452
29200,0.01483168
29300,0.01507053
29400,0.01344159
29500,0.01321572
29600,0.01359385
29700,0.0148304
29800,0.01494402
29900,0.01464825
