step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
3800,0.13224918,0.0,0.0,0.04978526,0.04978526,0.0,0.06564382,0.12440174,0.09085882,0.0,0.06162683,0.12245601,0.08143644,0.13224918
3900,0.12261114,0.0,0.0,0.04829507,0.04829507,0.0,0.05995922,0.11519716,0.0823146,0.0,0.05782242,0.11302238,0.07752734,0.12261114
4000,0.12436865,0.0,0.0,0.044394,0.044394,0.0,0.06161426,0.12049536,0.08427529,0.0,0.058315,0.11621315,0.07890435,0.12436865
4100,0.12806921,0.0,0.0,0.04587329,0.04587329,0.0,0.0642796,0.11488236,0.09614894,0.0,0.05920228,0.10965143,0.08500666,0.12806921
4200,0.12087976,0.0,0.0,0.04460231,0.04460231,0.0,0.05903497,0.11609802,0.07961801,0.0,0.05738456,0.11620288,0.07516643,0.12087976
4300,0.11854047,0.0,0.0,0.04696481,0.04696481,0.0,0.05779495,0.11170215,0.07915946,0.0,0.05604903,0.10970329,0.07490493,0.11854047
4400,0.12729189,0.0,0.0,0.04526806,0.04526806,0.0,0.06312158,0.11434593,0.08970192,0.0,0.05964349,0.11450235,0.08012293,0.12729189
4500,0.1130962,0.0,0.0,0.04249333,0.04249333,0.0,0.05516567,0.10798615,0.07478622,0.0,0.0536812,0.10776664,0.07053602,0.1130962
4600,0.10745218,0.0,0.0,0.04295686,0.04295686,0.0,0.05258394,0.104818,0.07225177,0.0,0.05057256,0.10146898,0.06815285,0.10745218
4700,0.11189339,0.0,0.0,0.04224248,0.04224248,0.0,0.05640156,0.10432305,0.07964622,0.0,0.05126758,0.10243975,0.06705793,0.11189339
4800,0.10475013,0.0,0.0,0.0394129,0.0394129,0.0,0.05220419,0.10247813,0.07314837,0.0,0.04860466,0.09918042,0.06582924,0.10475013
4900,0.11196617,0.0,0.0,0.04077221,0.04077221,0.0,0.05514579,0.10571989,0.07700092,0.0,0.05274316,0.10617362,0.07096095,0.11196617
5000,0.10239987,0.0,0.0,0.03974262,0.03974262,0.0,0.05009934,0.09982498,0.06741062,0.0,0.04832627,0.09943388,0.06293608,0.10239987
