step,loss,loss/distill_future_flow,loss/distill_future_flow_mean,loss/distill_future_force,loss/distill_future_force_mean,loss/hand_synergy,loss/student_action,loss/student_action_arm,loss/student_action_hand,loss/tactile_refiner_delta_reg,loss/teacher_action,loss/teacher_action_arm,loss/teacher_action_hand,loss/total
3800,0.13035427,0.0,0.0,0.04592775,0.04592775,0.0,0.06351782,0.12372507,0.08535822,0.0,0.06224369,0.11953808,0.08433735,0.13035427
3900,0.12112701,0.0,0.0,0.04653786,0.04653786,0.0,0.06034436,0.11406454,0.08409706,0.0,0.05612885,0.11098056,0.07531345,0.12112701
4000,0.12407895,0.0,0.0,0.04454728,0.04454728,0.0,0.0620014,0.12123316,0.08509266,0.0,0.05762282,0.11413231,0.07777371,0.12407895
4100,0.12742843,0.0,0.0,0.04462136,0.04462136,0.0,0.0644509,0.11602446,0.09574284,0.0,0.0585154,0.10881078,0.08435941,0.12742843
4200,0.12104444,0.0,0.0,0.04441097,0.04441097,0.0,0.05975358,0.11855314,0.08045194,0.0,0.05684976,0.11253786,0.07542966,0.12104444
4300,0.11831553,0.0,0.0,0.04376153,0.04376153,0.0,0.05877809,0.11177649,0.08171236,0.0,0.05516127,0.10968687,0.07339581,0.11831553
4400,0.12620547,0.0,0.0,0.04649103,0.04649103,0.0,0.06451864,0.11602172,0.0919202,0.0,0.05703773,0.11113891,0.07542752,0.12620547
4500,0.11089145,0.0,0.0,0.04217036,0.04217036,0.0,0.05445721,0.1082105,0.07291597,0.0,0.0522172,0.10479832,0.06858691,0.11089145
4600,0.10664245,0.0,0.0,0.0427607,0.0427607,0.0,0.05291089,0.10489744,0.07195179,0.0,0.0494555,0.09977593,0.0663105,0.10664245
4700,0.11044306,0.0,0.0,0.0423274,0.0423274,0.0,0.05540087,0.10460202,0.07675668,0.0,0.05080945,0.09975777,0.0675217,0.11044306
4800,0.10740909,0.0,0.0,0.04586368,0.04586368,0.0,0.05408195,0.10346416,0.07735682,0.0,0.04874078,0.09801968,0.0663174,0.10740909
4900,0.11295561,0.0,0.0,0.04060362,0.04060362,0.0,0.05591948,0.10748465,0.07796698,0.0,0.05297576,0.10595594,0.07101149,0.11295561
5000,0.10321765,0.0,0.0,0.04114221,0.04114221,0.0,0.05068359,0.10272488,0.06740779,0.0,0.04841984,0.09973197,0.06348991,0.10321765
5100,0.09898003,0.0,0.0,0.03925646,0.03925646,0.0,0.04880364,0.0988239,0.06658877,0.0,0.04625074,0.09572905,0.0618366,0.09898003
5200,0.10793547,0.0,0.0,0.04145415,0.04145415,0.0,0.05397069,0.10070703,0.07421372,0.0,0.04981937,0.0989158,0.06410346,0.10793547
5300,0.10244908,0.0,0.0,0.0426811,0.0426811,0.0,0.05083052,0.09694154,0.06923115,0.0,0.04735045,0.09491319,0.06194431,0.10244908
5400,0.10376328,0.0,0.0,0.04860203,0.04860203,0.0,0.05115617,0.09566286,0.07097605,0.0,0.0477469,0.09253319,0.06455833,0.10376328
5500,0.1074633,0.0,0.0,0.04345152,0.04345152,0.0,0.05363758,0.10290962,0.07429498,0.0,0.04948056,0.09785537,0.06658701,0.1074633
5600,0.1010416,0.0,0.0,0.04133166,0.04133166,0.0,0.05033692,0.09577175,0.06928654,0.0,0.04657151,0.09227526,0.06153148,0.1010416
5700,0.0946909,0.0,0.0,0.04036179,0.04036179,0.0,0.0469603,0.09105536,0.06513061,0.0,0.04369441,0.08784164,0.05905881,0.0946909
5800,0.09725387,0.0,0.0,0.04171958,0.04171958,0.0,0.04790267,0.09386522,0.06403491,0.0,0.04517924,0.09050959,0.05903546,0.09725387
5900,0.09302848,0.0,0.0,0.04054153,0.04054153,0.0,0.04615202,0.08922268,0.06522219,0.0,0.0428223,0.08479141,0.05858505,0.09302848
6000,0.09077953,0.0,0.0,0.04065619,0.04065619,0.0,0.04511206,0.0856352,0.06359681,0.0,0.04160186,0.08343889,0.0565432,0.09077953
6100,0.0896159,0.0,0.0,0.03915598,0.03915598,0.0,0.04437225,0.08889489,0.05946707,0.0,0.04132805,0.08472504,0.05414971,0.0896159
6200,0.09646111,0.0,0.0,0.0398622,0.0398622,0.0,0.0485877,0.09284656,0.06785605,0.0,0.04388719,0.08943069,0.05690479,0.09646111
6300,0.09008074,0.0,0.0,0.04239373,0.04239373,0.0,0.04486788,0.08454944,0.06501904,0.0,0.04097348,0.08100919,0.05661945,0.09008074
